代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
600273,嘉化能源,9.28,-2.11%,-0.20,11.86万,1.11亿,3.80%,9.57,9.21,9.48,9.48,0.75,0.83%,11.72,1.75
600118,中国卫星,31.52,-2.11%,-0.68,10.42万,3.32亿,3.04%,32.46,31.48,32.25,32.20,0.68,0.88%,117.09,6.43
300877,金春股份,51.40,-2.11%,-1.11,1.69万,8680.47万,2.78%,52.32,50.86,51.80,52.51,0.61,5.93%,22.54,3.98
002055,得润电子,12.93,-2.12%,-0.28,15.62万,2.07亿,6.36%,13.70,12.86,13.36,13.21,2.67,3.60%,20.65,2.89
603229,奥翔药业,36.92,-2.12%,-0.80,1.10万,4085.80万,2.94%,37.96,36.85,37.50,37.72,0.61,0.49%,100.07,7.98
603131,上海沪工,27.21,-2.12%,-0.59,5.41万,1.50亿,4.96%,28.39,27.01,27.63,27.80,0.66,1.84%,119.90,7.02
600095,湘财股份,12.91,-2.12%,-0.28,22.59万,3.00亿,5.91%,13.68,12.90,13.27,13.19,1.12,7.45%,72.70,3.26
600590,泰豪科技,5.53,-2.12%,-0.12,8.11万,4551.40万,2.83%,5.69,5.53,5.63,5.65,0.79,0.96%,31.48,1.20
605099,共创草坪,30.80,-2.13%,-0.67,8.56万,2.62亿,7.28%,32.00,29.71,31.10,31.47,1.46,21.34%,29.45,7.10
002851,麦格米特,33.51,-2.13%,-0.73,4.34万,1.45亿,5.40%,34.47,32.62,34.25,34.24,1.11,1.13%,45.18,6.00
600563,法拉电子,101.89,-2.13%,-2.22,3.56万,3.69亿,5.42%,106.37,100.73,105.08,104.11,0.97,1.58%,46.81,8.47
600575,淮河能源,2.29,-2.14%,-0.05,36.52万,8438.13万,2.99%,2.35,2.28,2.35,2.34,0.96,0.94%,14.46,0.92
600327,大东方,4.12,-2.14%,-0.09,8.55万,3568.28万,3.33%,4.25,4.11,4.17,4.21,0.64,0.97%,18.71,1.15
300021,大禹节水,5.49,-2.14%,-0.12,23.33万,1.28亿,3.57%,5.60,5.40,5.60,5.61,0.93,3.60%,68.12,3.03
300445,康斯特,13.72,-2.14%,-0.30,8138,1124.44万,3.42%,14.05,13.57,13.99,14.02,0.71,0.70%,51.08,3.29
300726,宏达电子,70.31,-2.14%,-1.54,6.50万,4.55亿,7.43%,72.31,66.97,71.09,71.85,1.02,3.23%,62.71,14.29
000830,鲁西化工,12.77,-2.15%,-0.28,26.08万,3.35亿,3.52%,13.16,12.70,13.16,13.05,0.54,1.78%,29.83,1.76
600084,ST中葡,2.28,-2.15%,-0.05,6.72万,1529.02万,3.00%,2.33,2.26,2.31,2.33,0.42,0.60%,-51.87,1.18
300227,光韵达,10.47,-2.15%,-0.23,26.37万,2.81亿,4.49%,10.89,10.41,10.63,10.70,0.53,7.21%,46.39,3.67
601058,赛轮轮胎,5.46,-2.15%,-0.12,30.98万,1.71亿,4.12%,5.67,5.44,5.65,5.58,0.84,1.21%,9.42,1.82
000662,*ST天夏,0.91,-2.15%,-0.02,43.91万,3968.92万,4.30%,0.93,0.89,0.90,0.93,1.05,4.02%,-35.71,1.53
300358,楚天科技,10.91,-2.15%,-0.24,7.33万,8043.17万,2.78%,11.19,10.88,11.08,11.15,0.54,1.60%,93.35,2.09
600674,川投能源,10.00,-2.15%,-0.22,5.07万,5106.28万,2.35%,10.23,9.99,10.18,10.22,0.79,0.12%,12.19,1.59
300824,北鼎股份,27.67,-2.16%,-0.61,2.54万,7046.31万,5.98%,28.70,27.01,28.33,28.28,0.81,4.68%,66.24,9.57
603330,上海天洋,29.48,-2.16%,-0.65,1.80万,5388.67万,3.68%,30.59,29.48,30.32,30.13,0.68,1.18%,109.41,7.22
002677,浙江美大,15.41,-2.16%,-0.34,4.00万,6212.43万,2.98%,15.85,15.38,15.69,15.75,0.94,1.43%,22.27,6.67
300367,ST网力,3.62,-2.16%,-0.08,14.40万,5255.46万,4.32%,3.74,3.58,3.71,3.70,0.73,1.52%,-7.20,15.03
603688,石英股份,22.60,-2.16%,-0.50,6.19万,1.40亿,3.81%,23.00,22.12,22.95,23.10,0.77,1.75%,40.18,4.23
300707,威唐工业,17.17,-2.17%,-0.38,2.60万,4498.07万,3.82%,17.79,17.12,17.54,17.55,0.88,2.34%,55.39,3.96
603612,索通发展,13.49,-2.18%,-0.30,10.25万,1.39亿,3.77%,13.89,13.37,13.70,13.79,0.79,2.40%,37.52,1.64
603006,联明股份,11.24,-2.18%,-0.25,2.95万,3342.33万,4.70%,11.58,11.04,11.49,11.49,1.03,1.54%,26.51,1.87
300143,盈康生命,18.41,-2.18%,-0.41,5.99万,1.11亿,5.21%,19.36,18.38,18.73,18.82,0.64,1.15%,208.49,5.61
600428,中远海特,4.49,-2.18%,-0.10,87.18万,3.96亿,10.02%,4.82,4.36,4.53,4.59,1.31,4.06%,53.39,0.99
002575,*ST群兴,3.59,-2.18%,-0.08,1.67万,604.32万,4.63%,3.71,3.54,3.67,3.67,0.44,0.28%,-114.13,3.18
603876,鼎胜新材,13.80,-2.20%,-0.31,3.15万,4357.49万,3.54%,14.17,13.67,14.11,14.11,0.62,1.31%,-375.70,1.67
600135,乐凯胶片,7.12,-2.20%,-0.16,7.89万,5627.40万,2.75%,7.27,7.07,7.25,7.28,0.79,2.11%,84.15,1.55
600129,太极集团,13.33,-2.20%,-0.30,1.64万,2215.67万,3.37%,13.77,13.31,13.63,13.63,0.47,0.30%,342.44,2.33
603233,大参林,79.18,-2.21%,-1.79,3.47万,2.72亿,5.31%,81.20,76.90,81.00,80.97,1.02,0.53%,45.11,10.24
601233,桐昆股份,19.45,-2.21%,-0.44,36.04万,6.99亿,4.93%,20.00,19.02,20.00,19.89,0.70,1.69%,17.28,2.10
000615,奥园美谷,7.05,-2.22%,-0.16,33.59万,2.37亿,4.99%,7.28,6.92,7.08,7.21,0.68,4.34%,-42.93,3.16
300332,天壕环境,4.84,-2.22%,-0.11,8.36万,4059.97万,3.23%,4.95,4.79,4.94,4.95,0.58,1.00%,91.05,1.24
300401,花园生物,15.36,-2.23%,-0.35,8.92万,1.39亿,3.12%,15.79,15.30,15.65,15.71,0.97,1.94%,28.04,2.96
300892,品渥食品,61.00,-2.23%,-1.39,3.16万,1.91亿,5.98%,61.74,58.01,61.11,62.39,0.74,13.34%,44.62,5.88
000663,*ST永林,3.94,-2.23%,-0.09,3.61万,1438.19万,4.22%,4.09,3.92,4.09,4.03,0.98,1.24%,-15.16,2.61
002072,ST凯瑞,4.37,-2.24%,-0.10,9398,415.68万,4.03%,4.54,4.36,4.47,4.47,0.46,0.61%,138.37,27.71
600331,宏达股份,2.18,-2.24%,-0.05,29.33万,6436.06万,4.04%,2.25,2.16,2.23,2.23,0.56,1.44%,-11.01,2.22
300752,隆利科技,36.17,-2.24%,-0.83,5.90万,2.16亿,5.03%,37.46,35.60,37.10,37.00,0.58,17.86%,70.43,5.00
000975,银泰黄金,8.68,-2.25%,-0.20,25.77万,2.24亿,2.25%,8.81,8.61,8.81,8.88,0.96,1.49%,18.91,2.51
600863,内蒙华电,2.60,-2.26%,-0.06,33.04万,8666.74万,3.38%,2.68,2.59,2.67,2.66,0.86,0.57%,11.42,1.28
000534,万泽股份,12.13,-2.26%,-0.28,2.72万,3339.60万,4.83%,12.70,12.10,12.28,12.41,0.58,0.55%,64.28,6.01
300213,佳讯飞鸿,6.93,-2.26%,-0.16,28.41万,2.01亿,5.08%,7.24,6.88,7.06,7.09,2.39,5.20%,32.30,1.90
300442,普丽盛,35.80,-2.27%,-0.83,7669,2747.02万,4.42%,36.65,35.03,36.65,36.63,0.81,0.77%,-43.39,5.31
002237,恒邦股份,12.93,-2.27%,-0.30,8.51万,1.11亿,2.57%,13.22,12.88,13.22,13.23,0.84,0.93%,51.23,2.02
002007,华兰生物,40.90,-2.27%,-0.95,21.57万,8.86亿,3.08%,42.10,40.81,41.85,41.85,0.81,1.38%,58.04,10.72
002141,贤丰控股,2.58,-2.27%,-0.06,10.05万,2620.05万,3.79%,2.66,2.56,2.61,2.64,0.53,1.58%,-10.84,2.60
601700,风范股份,4.71,-2.28%,-0.11,11.34万,5345.95万,2.70%,4.80,4.67,4.77,4.82,0.44,1.00%,36.15,2.11
000416,民生控股,5.54,-2.29%,-0.13,10.27万,5749.81万,3.17%,5.71,5.53,5.65,5.67,0.73,1.93%,85.26,3.30
603666,亿嘉和,92.00,-2.29%,-2.16,9973,9143.56万,4.97%,94.28,89.60,94.16,94.16,0.62,2.52%,59.25,9.45
300122,智飞生物,144.69,-2.30%,-3.41,18.48万,26.53亿,5.19%,147.18,139.50,146.00,148.10,1.07,2.05%,70.05,31.18
300601,康泰生物,174.78,-2.30%,-4.12,5.89万,10.36亿,4.02%,180.00,172.80,178.78,178.90,0.88,1.20%,207.00,17.26
600635,大众公用,4.24,-2.30%,-0.10,26.86万,1.14亿,3.00%,4.33,4.20,4.32,4.34,1.10,1.11%,46.05,1.51
603318,派思股份,7.19,-2.31%,-0.17,6.22万,4517.49万,4.08%,7.47,7.17,7.41,7.36,0.80,1.55%,143.38,2.88
600803,新奥股份,13.11,-2.31%,-0.31,6.57万,8732.72万,3.87%,13.60,13.08,13.49,13.42,0.81,0.53%,20.42,4.80
